"Name","House","Expansion – #","Aerc Score","Amber Control","Expected Amber","Aember Protection","Artifact Control","Creature Control","Effective Power","Efficiency","Disruption","House Cheating","Other","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"Drummernaut","Brobnar","AGE_OF_ASCENSION – 006","2.5","0","0","0","0","0","6","0","0","0","1.5","0","6","0","12233","12345","","goodPlay – 3 – house | readiesCreaturesOnPlay – 3 – anyHouse","Giant","Play/Fight/Reap: Return another friendly Giant creature to your hand.","“Ain’t nothin’, ain’t nobody, that can beat my beat.”"
"Coward’s End","Brobnar","CALL_OF_THE_ARCHONS – 007 | AGE_OF_ASCENSION – 004","1.5","0","0","0","0","2.5","0","-1","0","0","0","0","0","0","28622","29054","[object Object] | [object Object] | [object Object]","power5OrHigherCreatures – 2 – anyHouse | goodFight – 1 – anyHouse | damagesAllEnemies – -3 – anyHouse","","Play: Destroy each undamaged creature. Gain 3 chains.",""
"First Blood","Brobnar","AGE_OF_ASCENSION – 007","1.5","0","1","0","0","0.5","0","0","0","0","0","1","0","0","9808","10541","[object Object] | [object Object] | [object Object]","highCreatureCount – 2 – house | lowCreatureCount – -2 – house | alpha – -3 – house","","Alpha. (You can only play this card before doing anything else this step.)Play: Deal 2D for each friendly Brobnar creature. You may divide this damage among any number of creatures.",""
"Follow the Leader","Brobnar","CALL_OF_THE_ARCHONS – 008","0.5","0","0","0","0","0","0","0","0","0.5","0","0","0","0","6406","6779","[object Object]","highTotalCreaturePower – 2 – anyHouse | goodFight – 1 – outOfHouse","","Play: For the remainder of the turn, each friendly creature may fight.",""
"Foozle","Brobnar","AGE_OF_ASCENSION – 008","1.9","0","1","0","0","0","5","0","0","0","0","0","5","0","11219","11224","[object Object]","destroysEnemyCreatures – 2 – house | dealsDamage – 2 – house","Giant","Reap: If an enemy creature has been destroyed this turn, gain 1A.",""
"Lava Ball","Brobnar","CALL_OF_THE_ARCHONS – 009 | AGE_OF_ASCENSION – 042","1.5","0","0","0","0","1.5","0","0","0","0","0","0","0","0","3705","3529","[object Object] | [object Object]","","","Play: Deal 4<D> to a creature with 2<D> splash.","“Here...Catch!”"
"Ganger Chieftain","Brobnar","CALL_OF_THE_ARCHONS – 033 | AGE_OF_ASCENSION – 009","1.9","0","0","0","0","0.5","5","0","0","0.5","0","0","5","0","36596","33940","[object Object] | [object Object]","returnsFriendlyCreaturesToHand – 1 – anyHouse | highTotalCreaturePower – 1 – anyHouse | lowCreatureCount – -2 – anyHouse","Giant","Play: You may ready and fight with a neighboring creature.","It takes two to fight, but more is better. "
"Loot the Bodies","Brobnar","CALL_OF_THE_ARCHONS – 010","1.5","0","1.5","0","0","0","0","0","0","0","0","0","0","0","18827","18718","","destroysEnemyCreatures – 2 – house | highTotalCreaturePower – 2 – house | dealsDamage – 1 – house | lowCreatureCount – -2 – house","","Play: For the remainder of the turn, gain 1<A> each time an enemy creature is destroyed.","“Loot the Bodies! Hit the Floor! Loot the Bodies! Hit the Floor!” –Brobnar War Chant"
"Gauntlet of Command","Brobnar","CALL_OF_THE_ARCHONS – 022 | AGE_OF_ASCENSION – 010","2","0","0.5","0","0","1","0","0","0","0.5","0","0","0","0","31105","30572","[object Object] | [object Object]","highTotalCreaturePower – 1 – anyHouse | lowTotalCreaturePower – -1 – anyHouse","Item","Action: Ready and fight with a friendly creature.","“I said ‘take me to your leader’and got a fist to the face.”– Captain Val Jericho"
"Groggins","Brobnar","AGE_OF_ASCENSION – 011","1","0","0","0","0","0","6","0","0","0","0","0","8","0","10777","10947","","","Giant","When Groggins is used to fight,it can only attack flank creatures.",""
"Punch","Brobnar","CALL_OF_THE_ARCHONS – 012","1.75","0","1","0","0","0.75","0","0","0","0","0","1","0","0","21841","20139","[object Object]","","","Play: Deal 3<D> to a creature.","Three for flinching."
"Groke","Brobnar","AGE_OF_ASCENSION – 012","1.4","0.5","0","0","0","0","5","0","0","0","0","0","5","0","11606","11844","[object Object]","causesFighting – 2 – anyHouse | increasesCreaturePower – 1 – anyHouse","Giant","Fight: Your opponent loses 1A.","“Fierce as a Brutodon and about as sharp.” – Livia the Elder"
"Into the Fray","Brobnar","AGE_OF_ASCENSION – 013","0.5","0","0","0","0","0.5","0","0","0","0","0","0","0","0","9173","10437","","goodFight – 3 – house | highTotalCreaturePower – 1 – house","","Play: For the remainder of the turn, a friendly Brobnar creature gains, “Fight: Ready this creature.”",""
"Smith","Brobnar","CALL_OF_THE_ARCHONS – 014 | AGE_OF_ASCENSION – 029","2","0","2","0","0","0","0","0","0","0","0","1","0","0","12496","11827","","highCreatureCount – 3 – anyHouse | lowCreatureCount – -3 – anyHouse","","Play: Gain 2<A> if you control more creatures than your opponent.",""
"Lollop the Titanic","Brobnar","AGE_OF_ASCENSION – 014","1.2000000000000002","0","0","0","0","0","8","0","0","0","0","0","11","0","11921","11874","","","Giant,Location","Lollop the Titanic deals no damage when attacked.","“Titans are to giants as giants are to goblins.” – Dr. Schucks"
"Pound","Brobnar","AGE_OF_ASCENSION – 015","1.75","0","1","0","0","0.75","0","0","0","0","0","1","0","0","10831","10933","[object Object] | [object Object]","","","Play: Deal 2D to a creature,with 1D splash.",""
"Tremor","Brobnar","CALL_OF_THE_ARCHONS – 016 | AGE_OF_ASCENSION – 016","1","0","0","0","0","1","0","0","0","0","0","0","0","0","27178","28409","[object Object]","","","Play: Stun a creature and each of its neighbors.",""
"Unguarded Camp","Brobnar","CALL_OF_THE_ARCHONS – 017","1.5","0.5","1","0","0","0","0","0","0","0","0","1","0","0","7116","6991","[object Object]","highCreatureCount – 2 – anyHouse","","Play: For each creature you have in excess of your opponent, a friendly creature captures 1<A>. Each creature cannot capture more than 1<A> this way.",""
"Warsong","Brobnar","CALL_OF_THE_ARCHONS – 018","1","0","1","0","0","0","0","0","0","0","0","0","0","0","16927","17658","","highCreatureCount – 2 – house | causesFighting – 1 – house | lowCreatureCount – -2 – house","","Play: For the remainder of the turn, gain 1<A> each time a friendly creature fights.",""
"Blood of Titans","Brobnar","CALL_OF_THE_ARCHONS – 050 | AGE_OF_ASCENSION – 018","1.5","0","1","0","0","0","5","0","0","0","0","1","0","0","12157","11352","[object Object] | [object Object]","highCreatureCount – 1 – house | lowCreatureCount – -1 – house","","This creature gets +5 power.","“Blood of Giants? Why stop there?” – Pingle Who Annoys"
"Autocannon","Brobnar","CALL_OF_THE_ARCHONS – 019","1.5","0","1","0","0","0.5","0","0","0","0","0","1","0","0","2092","2118","[object Object] | [object Object] | [object Object] | [object Object]","highTotalArmor – 3 – anyHouse","Weapon","Deal 1<D> to each creature after it enters play.",""
"Banner of Battle","Brobnar","CALL_OF_THE_ARCHONS – 020","1","0","0","0","0","0","10","0","0","0","0","0","0","0","2474","2350","[object Object] | [object Object]","highCreatureCount – 2 – anyHouse | lowCreatureCount – -2 – anyHouse","Item","Each friendly creature gets +1 power.",""
"Culf the Quiet","Brobnar","AGE_OF_ASCENSION – 020","1.3","0","0","0","0","0","9","0","0","0","0","0","6","0","4130","4222","[object Object]","","Giant","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)","“…”"
"Cannon","Brobnar","CALL_OF_THE_ARCHONS – 021","0.75","0","0","0","0","0.75","0","0","0","0","0","0","0","0","6646","6883","[object Object] | [object Object]","","Weapon","Action: Deal 2<D> to a creature.",""
"Flamethrower","Brobnar","AGE_OF_ASCENSION – 021","0.5","0","0","0","0","0.5","0","0","0","0","0","0","0","0","3469","3843","[object Object] | [object Object] | [object Object]","","Weapon","Action: Deal 1D to a creature,with 1D splash.","The skalds were really hot that night."
"Flamewake Shaman","Brobnar","AGE_OF_ASCENSION – 022","1.5499999999999998","0","0","0","0","0.75","4","0","0","0","0","0","4","0","4124","4131","[object Object] | [object Object]","","Human","Play: Deal 2D to a creature.","There isn’t a big difference between the biggest humans and the smallest giants."
"Iron Obelisk","Brobnar","CALL_OF_THE_ARCHONS – 023 | AGE_OF_ASCENSION – 040","1.5","1.5","0","0","0","0","0","0","0","0","0","0","0","0","3892","3765","[object Object]","highTotalCreaturePower – 3 – house","Location","Your opponent’s keys cost +1<A> for each friendly damaged Brobnar creature.",""
"Gargantes Scrapper","Brobnar","AGE_OF_ASCENSION – 023","0.9500000000000001","0","0","0","0","0.25","3","0","0","0","0","0","3","0","3582","3926","[object Object]","alpha – -3 – house","Giant","Alpha. (You can only play this card before doing anything else this step.)Play: If you have 3A or more,deal 3D to an enemy creature.",""
"Grump Buggy","Brobnar","AGE_OF_ASCENSION – 024","2","1","1","0","0","0","0","0","0","0","0","1","0","0","4625","4463","[object Object]","power5OrHigherCreatures – 3 – anyHouse | increasesCreaturePower – 2 – anyHouse","Vehicle","Your opponent’s keys cost +1A for each friendly creature with power 5 or higher.Your keys cost +1A for each enemy creature with power 5 or higher.",""
"Mighty Javelin","Brobnar","CALL_OF_THE_ARCHONS – 024","2.25","0","1","0","0","1.25","0","0","0","0","0","1","0","0","8408","7685","[object Object] | [object Object]","","Weapon","Omni: Sacrifice Mighty Javelin. Deal 4<D> to a creature.",""
"Little Rapscal","Brobnar","AGE_OF_ASCENSION – 025","0.8500000000000001","0.25","0","0","0","0","2","0","0","0","0","0","2","0","3409","3865","[object Object]","goodFight – 2 – anyHouse | goodReap – -2 – anyHouse","Goblin","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Creatures must fight when used, if able.","“And they said I was annoying!” – Pingle Who Annoys"
"Screechbomb","Brobnar","CALL_OF_THE_ARCHONS – 026 | AGE_OF_ASCENSION – 028","1.75","1.75","0","0","0","0","0","0","0","0","0","0","0","0","12286","11561","[object Object]","","Weapon","Omni: Sacrifice Screechbomb. Your opponent loses 2<A>.","“I think that thing made me deaf!”“What? I can’t hear you! I think that thing made me deaf!” "
"Ogopogo","Brobnar","AGE_OF_ASCENSION – 026","1.5","0","0","0","0","0.5","6","0","0","0","0","0","6","0","4211","4209","","","Giant","After Ogopogo attacks and destroys a creature, you may deal 2D to a creature.",""
"Relentless Assault","Brobnar","CALL_OF_THE_ARCHONS – 013 | AGE_OF_ASCENSION – 027","2.5","0","1","0","0","1.5","0","0","0","0","0","0","0","0","12160","11343","[object Object]","highTotalCreaturePower – 2 – anyHouse | lowTotalCreaturePower – -2 – anyHouse","","Play: Ready and fight with upto 3 different friendly creatures,one at a time.",""
"Bilgum Avalanche","Brobnar","CALL_OF_THE_ARCHONS – 028 | AGE_OF_ASCENSION – 035","1.4","0","0","0","0","0.5","5","0","0","0","0","0","5","0","3709","3669","[object Object] | [object Object] | [object Object]","","Giant","After you forge a key, deal 2<D> to each enemy creature.","“Some call her ‘warleader.’ Some call her ‘demon.’ I just call her ‘Avalanche.’” –Dodger"
"Valdr","Brobnar","CALL_OF_THE_ARCHONS – 029","1","0","0","0","0","0","6","0","0","0","0","0","6","0","19403","19278","","","Giant","Valdr deals +2<D> while attacking an enemy creature on the flank.","“Gather that Æmber! And you’re welcome.”"
"Sound the Horns","Brobnar","CALL_OF_THE_ARCHONS – 015 | AGE_OF_ASCENSION – 030","3","0","1","0","0","0","0","2","0","0","0","1","0","0","13068","12065","","returnsCreaturesFromDiscard – 1 – anyHouse | returnsCardsFromDiscard – 1 – anyHouse","","Play: Discard cards from the top of your deck until you either discard a Brobnar creature or run out of cards. If you discarded a Brobnar creature this way, put it into your hand.",""
"Bumpsy","Brobnar","CALL_OF_THE_ARCHONS – 030","1.9","1","0","0","0","0","5","0","0","0","0","0","5","0","24487","21688","[object Object]","returnsFriendlyCreaturesToHand – 1 – anyHouse","Giant","Play: Your opponent loses 1<A>.","Whatever he doesn’t like, he breaks. He doesn’t like anything."
"The Flex","Brobnar","AGE_OF_ASCENSION – 031","1","0","1","0","0","0","0","0","0","0","0","0","0","0","3702","4113","","highTotalCreaturePower – 2 – house","","Play: Choose a ready friendly Brobnar creature. Exhaust it and gain A equal to half its power (rounding down the gain).",""
"Earthshaker","Brobnar","CALL_OF_THE_ARCHONS – 031","2.1","0","0","0","0","1","7","0","0","0","0","0","7","0","9386","8602","[object Object] | [object Object] | [object Object]","power4OrHigherCreatures – 2 – anyHouse | power3OrLowerCreatures – -2 – anyHouse","Giant","Play: Destroy each creature with power 3 or lower.","“Did you feel that?”"
"The Warchest","Brobnar","CALL_OF_THE_ARCHONS – 027 | AGE_OF_ASCENSION – 032","1.5","0","1.5","0","0","0","0","0","0","0","0","0","0","0","11225","11356","[object Object]","highTotalCreaturePower – 3 – house | causesFighting – 2 – house | goodFight – 2 – house","Item","Action: Gain 1A for each enemy creature that was destroyed in a fight this turn.","It doesn’t matter what the treasure is,only how it was won."
"Firespitter","Brobnar","CALL_OF_THE_ARCHONS – 032","1.5","0","0","0","0","0.5","6","0","0","0","0","0","5","1","21115","20013","[object Object] | [object Object] | [object Object]","causesFighting – 1 – anyHouse | increasesCreaturePower – 1 – anyHouse","Giant","Before Fight: Deal 1<D> to each enemy creature.","Guess how he got that name."
"Bellowing Patrizate","Brobnar","AGE_OF_ASCENSION – 034","1.85","0","0","0","0","0.75","7","0","0","0","0","0","7","0","1281","1269","[object Object] | [object Object] | [object Object] | [object Object]","highTotalArmor – 2 – anyHouse","Giant","While Bellowing Patrizate is ready, each creature takes 1D after it enters play.","”The mountain’s answer.” – Nirbor clan term for “avalanche.” "
"Grenade Snib","Brobnar","CALL_OF_THE_ARCHONS – 034","2.35","1.75","0","0","0","0","2","0","0","0","0","0","2","0","8987","8158","[object Object]","destroysFriendlyCreatures – 2 – anyHouse | damagesFriendlyCreatures – 2 – house | causesFighting – 2 – house","Goblin","Destroyed: Your opponent loses 2<A>.",""
"Headhunter","Brobnar","CALL_OF_THE_ARCHONS – 035","1.4","0","0.5","0","0","0","5","0","0","0","0","0","5","0","21433","20714","[object Object]","causesFighting – 2 – anyHouse | increasesCreaturePower – 1 – anyHouse","Giant","Fight: Gain 1<A>.","“I mean, I think it’s a head...”"
"Hebe the Huge","Brobnar","CALL_OF_THE_ARCHONS – 036","1.5","0","0","0","0","0.5","6","0","0","0","0","0","6","0","8045","7759","[object Object] | [object Object] | [object Object]","highTotalArmor – 2 – anyHouse | power2OrLowerCreatures – -2 – anyHouse","Knight,Giant","Play: Deal 2<D> to each other undamaged creature.","He’s much bigger in person. "
"Kelifi Dragon","Brobnar","CALL_OF_THE_ARCHONS – 037","1","0","0.25","0","0","0.25","1","0","0","0","0","0","12","0","2254","2436","","highExpectedAmber – 3 – house | highCreatureCount – 1 – house","Dragon","Kelifi Dragon cannot be played unless you have 7<A> or more.Fight/Reap: Gain 1<A>. Deal 5<D> to a creature.",""
"Cybergiant Rig","Brobnar","AGE_OF_ASCENSION – 037","1.2","0","1","0","0","0","2","0","0","0","0","1","0","0","1195","1260","[object Object] | [object Object]","highTotalCreaturePower – 1 – anyHouse","","This creature gains, “At the end of your turn, this creature loses a +1 power counter.”Play: Fully heal this creature and give it a +1 power counter for each damage healed.",""
"Forgemaster Og","Brobnar","AGE_OF_ASCENSION – 038","1.7999999999999998","1","0","0","0","0","4","0","0","0","0","0","4","0","1333","1387","","","Giant","After a player forges a key, they lose all of their remaining A.",""
"King of the Crag","Brobnar","CALL_OF_THE_ARCHONS – 038 | AGE_OF_ASCENSION – 041","1.6","0","0","0","0","0.5","7","0","0","0","0","0","7","0","3791","3717","","","Giant","Each enemy Brobnar creature gets –2 power.","Overthrowing this king is an uphill battle. "
"Grumpus Tamer","Brobnar","AGE_OF_ASCENSION – 039","1.3","0","0","0","0","0","4","0.5","0","0","0","0","4","0","1171","1353","[object Object]","warGrumpus – 2 – anyHouse","Giant","Reap: Search your deck and discard pile for a War Grumpus, reveal it, and add it to your hand. Then, shuffle your deck.",""
"Krump","Brobnar","CALL_OF_THE_ARCHONS – 039","2","1","0","0","0","0","6","0","0","0","0","0","6","0","23677","21875","[object Object]","causesFighting – 2 – anyHouse | increasesCreaturePower – 1 – anyHouse","Giant","After an enemy creature is destroyed fighting Krump, its controller loses 1<A>.",""
"Lomir Flamefist","Brobnar","CALL_OF_THE_ARCHONS – 040","1.65","0.75","0","0","0","0","5","0","0","0","0","0","5","0","8465","7999","[object Object]","capturesAmber – 1 – house | increasesKeyCost – 1 – anyHouse","Giant","Play: If your opponent has 7<A> or more, they lose 2<A>.","“I thought his name would turn out to be... metaphorical.” – Quixo the “Adventurer”"
"Looter Goblin","Brobnar","CALL_OF_THE_ARCHONS – 041","1.6","0","1","0","0","0","2","0","0","0","0","0","2","0","2425","2267","[object Object] | [object Object]","destroysEnemyCreatures – 2 – house | goodFight – 2 – house | dealsDamage – 1 – house","Goblin","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Reap: For the remainder of the turn, gain 1<A> each time an enemy creature is destroyed.",""
"Mugwump","Brobnar","CALL_OF_THE_ARCHONS – 042 | AGE_OF_ASCENSION – 044","1.4","0","0","0","0","0","10","0","0","0","0","0","6","0","3282","3153","","causesFighting – 2 – anyHouse","Giant","After an enemy creature is destroyed fighting Mugwump, fully heal Mugwump and give it a +1 power counter.",""
"Might Makes Right","Brobnar","AGE_OF_ASCENSION – 043","2","0","2","0","0","0","0","0","0","0","0","1","0","0","1678","1669","[object Object]","highTotalCreaturePower – 3 – anyHouse","","Play: You may sacrifice any number of creatures with total power of 25 or more. If you do, forge a key at no cost.",""
"Pingle Who Annoys","Brobnar","CALL_OF_THE_ARCHONS – 043","1.1","0","0","0","0","0.5","2","0","0","0","0","0","2","0","2159","2226","[object Object] | [object Object] | [object Object]","","Goblin","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Deal 1<D> to each enemy creature after it enters play.",""
"Rock-Hurling Giant","Brobnar","CALL_OF_THE_ARCHONS – 044 | AGE_OF_ASCENSION – 047","2.5","0","0","0","0","1.5","6","0","0","0","0","0","6","0","3874","3717","[object Object]","discardsFriendlyCards – 3 – anyHouse","Giant","During your turn, each time you discard a Brobnar card from your hand, you may deal 4<D> to a creature.",""
"Rogue Ogre","Brobnar","CALL_OF_THE_ARCHONS – 045","1.5","0.5","0","0","0","0","6","0","0","0","0","0","6","0","2391","2359","[object Object]","","Mutant,Giant","At the end of your turn, if you played exactly one card this turn, Rogue Ogre heals 2 damage and captures 1<A>.","“I like to think of it as a Roguere.” –Dodger"
"Phoenix Heart","Brobnar","CALL_OF_THE_ARCHONS – 051 | AGE_OF_ASCENSION – 045","0.75","0","0","0","0","0.25","0","0.5","0","0","0","0","0","0","3525","3608","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","highTotalArmor – 2 – anyHouse","","This creature gains, “Destroyed: Return this creature to its owner’s hand and deal 3D to each creature in play.”",""
"Pile of Skulls","Brobnar","CALL_OF_THE_ARCHONS – 025 | AGE_OF_ASCENSION – 046","2","2","0","0","0","0","0","0","0","0","0","0","0","0","4247","3776","[object Object]","highTotalCreaturePower – 2 – anyHouse | dealsDamage – 1 – anyHouse | damagesFriendlyCreatures – -1 – anyHouse | lowTotalCreaturePower – -2 – anyHouse","Location","Each time an enemy creature is destroyed during your turn,a friendly creature captures 1A.",""
"Smaaash","Brobnar","CALL_OF_THE_ARCHONS – 046","1.4","0","0","0","0","0.5","5","0","0","0","0","0","5","0","21286","20225","[object Object] | [object Object]","returnsFriendlyCreaturesToHand – 1 – anyHouse","Giant","Play: Stun a creature.","“I’m not sure he knows any other words.” "
"Shard of Strength","Brobnar","AGE_OF_ASCENSION – 048","0.3","0","0","0","0","0","3","0","0","0","0","0","0","0","497","626","[object Object] | [object Object] | [object Object]","shard – 2 – anyHouse","Item,Shard","Action: Give a friendly creature a +1 power counter for each friendly Shard.","Forged from joy."
"Troll","Brobnar","CALL_OF_THE_ARCHONS – 048","1.4","0","0","0","0","0","10","0","0","0","0","0","8","0","22137","21148","","damagesFriendlyCreatures – 1 – anyHouse","Giant","Reap: Troll heals 3 damage.","Don’t feed it, it’ll go away."
"Signal Fire","Brobnar","AGE_OF_ASCENSION – 049","1.5","0","1","0","0","0","0","0","0","0.5","0","1","0","0","1193","1304","[object Object]","highCreatureCount – 3 – house","Item","Omni: Sacrifice Signal Fire. For the remainder of the turn, friendly Brobnar creatures may fight as though they belonged to the active house.",""
"Wardrummer","Brobnar","CALL_OF_THE_ARCHONS – 049","1.9","0","0","0","0","0","5","1","0","0","0","0","3","0","16386","15874","","goodPlay – 3 – house | highCreatureCount – 2 – house | lowCreatureCount – -2 – house","Goblin","Play: Return each other friendly Brobnar creature to your hand.",""
"Take that, Smartypants","Brobnar","CALL_OF_THE_ARCHONS – 011 | AGE_OF_ASCENSION – 050","1.5","0.25","1.25","0","0","0","0","0","0","0","0","1","0","0","3103","3271","","","","Play: Steal 2A if your opponent has 3 or more Logos cards in play.","“Them bots don’t wear pants. I carry spares.”"
"Tireless Crocag","Brobnar","CALL_OF_THE_ARCHONS – 047 | AGE_OF_ASCENSION – 051","1.4","0","0","0","0","0","5","0","0","0.5","0","0","7","0","3532","3554","","","Giant","Tireless Crocag cannot reap.You may use Tireless Crocag as if it belonged to the active house.If your opponent has no creatures in play, destroy Tireless Crocag.",""
"War Grumpus","Brobnar","AGE_OF_ASCENSION – 052","1.2000000000000002","0","0","0","0","0.5","3","0","0","0","0","0","3","0","3482","3869","[object Object] | [object Object]","","Beast","Fight/Reap: Ready and fight with a neighboring Giant.","Only the Brobnar would look at a Grumpusand say, “Yeah, I’ll tame that.”"
"Yo Mama Mastery","Brobnar","CALL_OF_THE_ARCHONS – 052","1.3","0","1","0","0","0","3","0","0","0","0","1","0","0","2130","2201","[object Object]","highTotalCreaturePower – 1 – anyHouse","","This creature gains taunt.Play: Fully heal this creature.","“Yo’ Mama is sooo tiny...”"
"Æmber Imp","Dis","AGE_OF_ASCENSION – 053","0.9500000000000001","0","0","0","0","0.25","3","0","0","0","0","0","2","0","11262","12191","[object Object] | [object Object]","lowCreatureCount – 2 – anyHouse | sacrificesCreatures – 2 – anyHouse | goodReap – -1 – anyHouse | highCreatureCount – -2 – anyHouse","Imp","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)After a creature reaps, stun it.","“Even the rocks themselves suffer here.” – Eldest Bear"
"Arise!","Dis","CALL_OF_THE_ARCHONS – 054","2","0","0","0","0","0","0","2","0","0","0","0","0","0","29821","26547","[object Object] | [object Object]","highCreatureCount – 3 – house | destroysFriendlyCreatures – 1 – anyHouse | highCreatureCount – 1 – anyHouse | lowCreatureCount – -2 – house | shufflesDiscard – -3 – anyHouse","","Play: Choose a house. Return each creature of that house from your discard pile to your hand. Gain 1 chain.",""
"Banish","Dis","AGE_OF_ASCENSION – 054","1.75","0","1","0","0","0.75","0","0","0","0","0","1","0","0","12243","12101","","","","Play: Put an enemy creature into your opponent’s archives.",""
"Binding Irons","Dis","AGE_OF_ASCENSION – 055","2","0","0","0","0","0","0","0","2","0","0","0","0","0","12334","12969","","returnsCardsFromDiscard – 2 – anyHouse","","Play: Your opponent gains 3 chains.","“I will not chain you. You have alreadychained yourself through your blindaffection for these mortals.”— Judge Slenderwile, Archon"
"Control the Weak","Dis","CALL_OF_THE_ARCHONS – 055","3.5","0","1","1","0","0","0","0","1.5","0","0","1","0","0","36569","29162","[object Object]","revealsHand – 2 – anyHouse | controlsHouseChoice – 2 – house","","Play: Choose a house on your opponent’s identity card. Your opponent must choose that house as their active house on their next turn.",""
"Charette","Dis","CALL_OF_THE_ARCHONS – 081 | AGE_OF_ASCENSION – 056","2.3","1.5","0","0","0","0","4","0","0","0","0","0","4","0","46286","41492","[object Object]","protectsCreatures – 1 – anyHouse","Demon","Play: Capture 3A.","It doesn’t like to share."
"Cull the Weak","Dis","AGE_OF_ASCENSION – 057","2","0","1","0","0","1","0","0","0","0","0","1","0","0","13305","12995","[object Object]","","","Play: Destroy the least powerful enemy creature.",""
"Dance of Doom","Dis","CALL_OF_THE_ARCHONS – 057","1.5","0","0","0","0","1.5","0","0","0","0","0","0","0","0","3489","3035","[object Object]","","","Play: Choose a number. Destroy each creature with power equal to that number.",""
"Fear","Dis","CALL_OF_THE_ARCHONS – 058","1","0","0","0","0","0.5","0","0","0.5","0","0","0","0","0","25623","23092","[object Object]","","","Play: Return an enemy creature to its owner’s hand.",""
"Dust Imp","Dis","CALL_OF_THE_ARCHONS – 083 | AGE_OF_ASCENSION – 058","2.6","0","2","0","0","0","2","0","0","0","0","0","2","0","48318","42615","[object Object]","destroysFriendlyCreatures – 2 – anyHouse | damagesFriendlyCreatures – 2 – anyHouse | sacrificesCreatures – 2 – anyHouse","Imp","Destroyed: Gain 2A.","When the demon’s away, the imps will play."
